date,pre_mean,hum_mean,tem_mean,tem_std,tem_kurt,occ
2019-01-10 11:24:00,95355.901,60.691999999999986,26.843,0.03917198545446034,-1.3190571145878582,M
2019-01-10 11:24:10,95356.15333333334,61.166666666666664,26.923333333333336,0.013662601021279476,1.339285714287687,M
2019-01-10 11:25:00,95358.094,61.428999999999995,26.976,0.02170509412813352,-1.154436632253629,M
2019-01-10 11:25:10,95356.456,61.727999999999994,27.032,0.02394437999475655,-0.6075677972649118,M
2019-01-10 11:25:20,95356.954,63.25899999999999,27.118000000000002,0.015491933384829955,-0.45800264550205894,M
2019-01-10 11:25:30,95357.761,62.35,27.164000000000005,0.018973665961009117,-1.4381246325690764,M
2019-01-10 11:25:40,95354.19999999998,63.22800000000001,27.233999999999998,0.021705094128134223,-1.272440624523242,M
2019-01-10 11:25:50,95353.15899999999,63.398,27.294,0.020110804171997648,-0.7512679628065233,M
2019-01-10 11:26:00,95352.32200000001,64.814,27.381999999999998,0.02250925735484513,-0.5015829046302773,M
2019-01-10 11:26:10,95352.132,63.674000000000014,27.435999999999996,0.013498971154211793,-0.12524432735614788,M
2019-01-10 11:26:20,95357.62700000001,62.717999999999996,27.490999999999996,0.01728840330651914,-0.8354539836979704,M
2019-01-10 11:26:30,95363.19499999999,61.536,27.526,0.009660917830795201,-0.6231778425661925,M
2019-01-10 11:26:40,95363.94,60.638,27.553000000000004,0.01159501808728306,-1.2267897391857585,M
2019-01-10 11:26:50,95364.15599999999,60.05500000000001,27.595,0.01080123449734667,-1.0320699708456758,M
2019-01-10 11:27:00,95363.398,59.947,27.633999999999997,0.012649110640672609,-1.6629464285721305,M
2019-01-10 11:27:10,95364.199,59.827,27.664000000000005,0.0069920589878016285,-0.14610389610090735,M
2019-01-10 11:27:20,95363.34900000002,59.69100000000001,27.682,0.01135292424395122,-0.708977407847224,M
2019-01-10 11:27:30,95362.219,59.669000000000004,27.717000000000002,0.010593499054715471,-1.2376937835221264,M
2019-01-10 11:27:40,95360.347,59.51800000000001,27.743000000000002,0.009486832980503915,-0.34685479129959385,M
2019-01-10 11:27:50,95359.98,59.53555555555556,27.77333333333333,0.012247448713914139,-1.5555555555557055,M
2019-01-10 11:28:00,95360.43499999998,59.414,27.808,0.013165611772086215,-0.7512679628064736,M
2019-01-10 11:28:10,95359.192,59.110000000000014,27.833999999999996,0.008432740427115882,0.3703962053577481,M
2019-01-10 11:28:20,95360.107,58.795,27.852999999999998,0.008232726023485524,1.236994663493384,M
2019-01-10 11:28:30,95358.78300000001,58.809000000000005,27.882999999999992,0.008232726023485857,-1.043498291551047,M
2019-01-10 11:28:40,95360.393,58.66600000000001,27.902000000000005,0.006324555320337772,0.1785714285700326,M
2019-01-10 11:28:50,95360.92199999999,58.524,27.920000000000005,0.006666666666665311,0.08035714285714413,M
2019-01-10 11:29:00,95359.58200000001,58.49499999999999,27.939999999999998,0.009428090415820147,-2.129464285714285,M
2019-01-10 11:29:10,95358.98999999999,58.297000000000004,27.967999999999996,0.0042163702135559495,1.4062500000018838,M
2019-01-10 11:29:20,95357.831,58.252999999999986,27.98,0.009428090415820147,-2.1294642857142865,M
2019-01-10 11:29:30,95355.918,58.04,28.008999999999997,0.0073786478737257535,-0.733622895223065,M
2019-01-10 11:29:40,95357.629,57.98199999999999,28.021000000000004,0.0031622776601686864,9.999999999970967,M
2019-01-10 11:29:50,95358.49,58.096666666666664,28.041111111111114,0.012692955176439761,-0.7001868523867296,M
2019-01-10 11:30:00,95358.01600000002,57.963,28.065999999999995,0.005163977794944264,-2.276785714288226,M
2019-01-10 11:30:10,95357.41900000001,57.769000000000005,28.068999999999996,0.0031622776601686864,9.999999999993303,M
2019-01-10 11:30:20,95358.66,57.714999999999996,28.060999999999996,0.003162277660168988,9.9999999999933,M
2019-01-10 11:30:30,95359.197,57.739,28.068999999999996,0.008755950357708946,-1.733729408587227,M
2019-01-10 11:30:40,95359.006,57.753,28.095999999999997,0.00966091783079276,-0.021865889215037626,M
2019-01-10 11:30:50,95358.41625,57.74125,28.12125,0.008345229603961501,-1.3917159763310125,M
2019-01-10 11:31:00,95358.27699999999,57.496,28.137999999999995,0.004216370213558174,1.4062499999943467,M
2019-01-10 11:31:10,95357.25200000001,57.451,28.155,0.007071067811866636,0.571428571428573,M
2019-01-10 11:31:20,95358.035,57.38099999999999,28.165000000000003,0.0070710678118656835,0.5714285714248479,M
2019-01-10 11:31:30,95360.201,57.379999999999995,28.191999999999997,0.007888106377463141,-1.0741618075796264,M
2019-01-10 11:31:40,95359.68299999999,57.396,28.218,0.009189365834727403,0.39622081519649743,M
2019-01-10 11:31:50,95357.30399999999,57.31999999999999,28.22,0.0,0.0,M
2019-01-10 11:32:00,95359.242,57.613000000000014,28.233000000000004,0.009486832980502265,-0.34685479129934427,M
2019-01-10 11:32:10,95358.63200000001,57.54999999999999,28.247999999999998,0.00788810637746707,-1.0741618075806372,M
2019-01-10 11:32:20,95359.367,57.501999999999995,28.275,0.008498365855990299,0.10650887573854728,M
2019-01-10 11:32:30,95360.51699999999,57.678999999999995,28.3,0.012472191289248166,-0.911807580175366,M
2019-01-10 11:32:40,95360.215,57.626,28.332,0.00788810637746465,-1.0741618075802628,M
2019-01-10 11:32:50,95360.003,57.227999999999994,28.325999999999993,0.005163977794941902,-2.276785714284877,M
2019-01-10 11:33:00,95361.535,57.044,28.317,0.006749485577106197,-0.2829948160124758,M
2019-01-10 11:33:10,95362.41,56.85600000000001,28.309999999999995,0.0,0.0,M
