date,pre_mean,pre_std,hum_mean,tem_mean,tem_kurt,occ
2019-01-10 11:24:00,95355.901,1.7449192913568328,60.691999999999986,26.843,-1.3190571145878582,M
2019-01-10 11:24:10,95356.15333333334,1.7497161674646162,61.166666666666664,26.923333333333336,1.339285714287687,M
2019-01-10 11:25:00,95358.094,1.3499563778921169,61.428999999999995,26.976,-1.154436632253629,M
2019-01-10 11:25:10,95356.456,1.645425983341799,61.727999999999994,27.032,-0.6075677972649118,M
2019-01-10 11:25:20,95356.954,0.4652884410023337,63.25899999999999,27.118000000000002,-0.45800264550205894,M
2019-01-10 11:25:30,95357.761,1.0895100835792795,62.35,27.164000000000005,-1.4381246325690764,M
2019-01-10 11:25:40,95354.19999999998,2.0267817949766243,63.22800000000001,27.233999999999998,-1.272440624523242,M
2019-01-10 11:25:50,95353.15899999999,1.1294684098667425,63.398,27.294,-0.7512679628065233,M
2019-01-10 11:26:00,95352.32200000001,1.1153753727885518,64.814,27.381999999999998,-0.5015829046302773,M
2019-01-10 11:26:10,95352.132,1.156477410066207,63.674000000000014,27.435999999999996,-0.12524432735614788,M
2019-01-10 11:26:20,95357.62700000001,6.619238039390349,62.717999999999996,27.490999999999996,-0.8354539836979704,M
2019-01-10 11:26:30,95363.19499999999,1.1390761363706288,61.536,27.526,-0.6231778425661925,M
2019-01-10 11:26:40,95363.94,2.0184537536356655,60.638,27.553000000000004,-1.2267897391857585,M
2019-01-10 11:26:50,95364.15599999999,0.9666804596678936,60.05500000000001,27.595,-1.0320699708456758,M
2019-01-10 11:27:00,95363.398,1.1980706712584372,59.947,27.633999999999997,-1.6629464285721305,M
2019-01-10 11:27:10,95364.199,1.5588631897751408,59.827,27.664000000000005,-0.14610389610090735,M
2019-01-10 11:27:20,95363.34900000002,1.3915494960646406,59.69100000000001,27.682,-0.708977407847224,M
2019-01-10 11:27:30,95362.219,1.6033953556933216,59.669000000000004,27.717000000000002,-1.2376937835221264,M
2019-01-10 11:27:40,95360.347,0.7296125303544051,59.51800000000001,27.743000000000002,-0.34685479129959385,M
2019-01-10 11:27:50,95359.98,2.013454742477018,59.53555555555556,27.77333333333333,-1.5555555555557055,M
2019-01-10 11:28:00,95360.43499999998,1.5714625176694625,59.414,27.808,-0.7512679628064736,M
2019-01-10 11:28:10,95359.192,2.205361144523809,59.110000000000014,27.833999999999996,0.3703962053577481,M
2019-01-10 11:28:20,95360.107,1.7615211229651657,58.795,27.852999999999998,1.236994663493384,M
2019-01-10 11:28:30,95358.78300000001,1.0511480496175214,58.809000000000005,27.882999999999992,-1.043498291551047,M
2019-01-10 11:28:40,95360.393,1.71980651366743,58.66600000000001,27.902000000000005,0.1785714285700326,M
2019-01-10 11:28:50,95360.92199999999,1.5303870243943754,58.524,27.920000000000005,0.08035714285714413,M
2019-01-10 11:29:00,95359.58200000001,1.088952605842637,58.49499999999999,27.939999999999998,-2.129464285714285,M
2019-01-10 11:29:10,95358.98999999999,0.7582875444052719,58.297000000000004,27.967999999999996,1.4062500000018838,M
2019-01-10 11:29:20,95357.831,1.1804937761642431,58.252999999999986,27.98,-2.1294642857142865,M
2019-01-10 11:29:30,95355.918,1.5600413099959232,58.04,28.008999999999997,-0.733622895223065,M
2019-01-10 11:29:40,95357.629,1.5482351960278133,57.98199999999999,28.021000000000004,9.999999999970967,M
2019-01-10 11:29:50,95358.49,1.401757825019755,58.096666666666664,28.041111111111114,-0.7001868523867296,M
2019-01-10 11:30:00,95358.01600000002,1.012688391251651,57.963,28.065999999999995,-2.276785714288226,M
2019-01-10 11:30:10,95357.41900000001,1.9458814055403875,57.769000000000005,28.068999999999996,9.999999999993303,M
2019-01-10 11:30:20,95358.66,1.7277152543194854,57.714999999999996,28.060999999999996,9.9999999999933,M
2019-01-10 11:30:30,95359.197,1.0142983343742582,57.739,28.068999999999996,-1.733729408587227,M
2019-01-10 11:30:40,95359.006,1.2693760497009852,57.753,28.095999999999997,-0.021865889215037626,M
2019-01-10 11:30:50,95358.41625,2.391783181170503,57.74125,28.12125,-1.3917159763310125,M
2019-01-10 11:31:00,95358.27699999999,1.3562452252877875,57.496,28.137999999999995,1.4062499999943467,M
2019-01-10 11:31:10,95357.25200000001,1.615417386727066,57.451,28.155,0.571428571428573,M
2019-01-10 11:31:20,95358.035,1.3738854068319788,57.38099999999999,28.165000000000003,0.5714285714248479,M
2019-01-10 11:31:30,95360.201,1.7372100877277603,57.379999999999995,28.191999999999997,-1.0741618075796264,M
2019-01-10 11:31:40,95359.68299999999,1.2342163505692922,57.396,28.218,0.39622081519649743,M
2019-01-10 11:31:50,95357.30399999999,1.6215849585426472,57.31999999999999,28.22,0.0,M
2019-01-10 11:32:00,95359.242,0.893504958637056,57.613000000000014,28.233000000000004,-0.34685479129934427,M
2019-01-10 11:32:10,95358.63200000001,1.1878346312181256,57.54999999999999,28.247999999999998,-1.0741618075806372,M
2019-01-10 11:32:20,95359.367,1.1455425691675813,57.501999999999995,28.275,0.10650887573854728,M
2019-01-10 11:32:30,95360.51699999999,1.541536390894041,57.678999999999995,28.3,-0.911807580175366,M
2019-01-10 11:32:40,95360.215,0.8993238200626528,57.626,28.332,-1.0741618075802628,M
2019-01-10 11:32:50,95360.003,1.433403486654445,57.227999999999994,28.325999999999993,-2.276785714284877,M
2019-01-10 11:33:00,95361.535,1.418545812521779,57.044,28.317,-0.2829948160124758,M
2019-01-10 11:33:10,95362.41,1.4336511275616246,56.85600000000001,28.309999999999995,0.0,M
