date,pre,hum,tem,occ
2019-09-24 11:43:00,95351.44,58.68,27.29,M
2019-09-24 16:06:00,94987.18,53.72,28.67,M
2019-09-23 17:45:00,95233.17,55.4,26.84,H
2019-10-02 20:32:00,95179.28,60.66,27.13,L
2019-09-25 12:13:00,95237.98,55.48,27.5,L
2019-09-23 13:58:00,95442.99,55.92,28.21,M
2019-09-23 14:04:00,95434.95,55.67,27.54,M
2019-09-24 19:00:00,94906.06,58.39,29.03,H
2019-09-24 11:42:00,95352.86,57.81,27.37,M
2019-09-24 16:03:00,94989.23,53.19,28.72,M
2019-09-18 19:23:00,95013.08,55.74,27.94,M
2019-09-25 12:27:00,95231.63,55.52,27.36,L
2019-09-24 19:09:00,94907.62,54.92,29.86,H
2019-10-01 11:32:00,95359.66,57.53,28.29,M
2019-09-18 19:20:00,95012.95,55.82,27.8,M
2019-09-23 17:51:00,95242.87,56.76,26.81,H
2019-10-02 20:39:00,95189.99,59.85,27.25,L
2019-09-25 12:11:00,95247.13,55.08,27.64,L
2019-09-23 17:40:00,95241.94,54.31,26.91,H
2019-09-24 15:57:00,94995.98,55.68,28.43,M
2019-09-23 13:56:00,95439.36,55.57,28.36,M
2019-09-24 19:15:00,94918.59,57.0,29.28,H
2019-09-24 19:16:00,94921.36,57.75,29.28,H
2019-09-25 12:19:00,95239.87,55.47,27.37,L
2019-09-24 19:01:00,94907.89,56.71,29.09,H
2019-09-24 16:13:00,94974.83,52.79,28.47,M
2019-09-25 12:06:00,95238.64,62.76,27.02,L
2019-09-23 14:01:00,95441.99,55.11,27.85,M
2019-09-24 16:17:00,94960.38,55.39,28.61,M
2019-10-01 11:43:00,95359.3,55.98,28.63,M
2019-09-25 12:20:00,95239.11,55.47,27.34,L
2019-10-02 20:45:00,95197.19,59.37,27.24,L
2019-09-24 16:12:00,94974.45,53.77,28.34,M
2019-09-24 11:50:00,95359.51,58.73,27.22,M
2019-09-18 19:06:00,95005.91,58.22,26.97,M
2019-09-24 11:47:00,95354.51,58.19,27.37,M
2019-09-24 19:02:00,94906.16,56.36,29.21,H
2019-09-24 19:03:00,94907.13,56.44,29.22,H
2019-09-23 17:43:00,95237.13,55.06,26.88,H
2019-09-18 19:14:00,95005.06,58.82,26.75,M
2019-09-24 16:09:00,94982.61,53.47,28.58,M
2019-09-24 15:56:00,94993.98,56.68,28.45,M
2019-10-02 20:42:00,95191.43,59.42,27.22,L
2019-10-02 20:30:00,95175.46,60.84,27.12,L
2019-09-24 19:17:00,94914.56,57.47,29.21,H
2019-10-01 11:24:00,95356.0,60.87,26.87,M
2019-09-24 16:16:00,94972.59,52.3,28.55,M
2019-10-01 11:36:00,95364.73,56.43,28.45,M
2019-10-02 20:48:00,95195.36,59.07,27.25,L
2019-09-23 17:50:00,95238.02,56.57,26.8,H
2019-10-02 20:46:00,95198.1,59.13,27.25,L
2019-09-25 12:08:00,95244.77,55.44,27.63,L
2019-09-24 11:52:00,95360.16,58.95,27.22,M
2019-09-25 12:14:00,95236.51,55.59,27.49,L
2019-09-25 12:16:00,95238.95,55.7,27.47,L
2019-09-24 11:57:00,95360.28,59.18,27.19,M
2019-09-23 17:49:00,95232.24,56.38,26.82,H
2019-09-23 17:48:00,95231.52,56.31,26.8,H
2019-09-24 16:08:00,94981.15,53.52,28.68,M
2019-09-18 19:17:00,95012.43,57.26,27.36,M
2019-09-25 12:25:00,95233.92,55.49,27.36,L
2019-09-23 13:57:00,95438.24,55.3,28.39,M
2019-10-02 20:36:00,95182.27,60.83,27.29,L
2019-09-18 19:24:00,95003.71,55.47,27.82,M
2019-09-18 19:19:00,95011.45,56.35,27.87,M
2019-09-24 16:01:00,94995.74,54.28,28.66,M
2019-09-23 17:52:00,95243.74,56.78,26.84,H
2019-09-24 19:05:00,94910.84,55.68,29.31,H
2019-09-24 15:59:00,94992.01,54.39,28.64,M
2019-09-18 19:07:00,95007.06,58.27,26.94,M
2019-10-02 20:47:00,95200.51,59.05,27.25,L
2019-09-24 19:14:00,94920.67,56.76,29.3,H
2019-09-18 19:10:00,95005.8,59.59,26.8,M
