date,pre,hum,tem,occ
2019-09-24 19:07:40,94907.02,54.28,29.62,H
2019-09-24 16:07:20,94986.52,53.72,28.78,M
2019-09-23 17:53:50,95241.62,57.0,26.81,H
2019-10-01 11:33:00,95361.54,57.04,28.32,M
2019-10-02 20:38:30,95190.12,59.75,27.29,L
2019-10-02 20:36:10,95181.31,60.36,27.18,L
2019-09-24 16:13:50,94973.98,52.51,28.53,M
2019-09-18 19:07:20,95007.63,58.25,26.95,M
2019-10-02 20:44:00,95196.99,59.47,27.26,L
2019-10-02 20:32:40,95179.37,60.64,27.12,L
2019-10-02 20:33:30,95179.57,60.76,27.14,L
2019-10-02 20:36:00,95181.56,60.36,27.18,L
2019-09-23 17:50:40,95238.41,56.52,26.79,H
2019-09-18 19:15:50,95011.42,58.15,26.91,M
2019-09-18 19:12:10,95006.45,58.64,26.84,M
2019-09-23 14:06:20,95428.34,56.34,27.39,M
2019-09-25 12:20:30,95238.93,55.4,27.35,L
2019-09-25 12:15:50,95237.85,55.88,27.5,L
2019-09-18 19:23:20,95013.71,56.06,27.87,M
2019-09-23 17:52:00,95243.48,56.68,26.83,H
2019-09-18 19:16:40,95013.79,57.71,27.16,M
2019-09-18 19:12:00,95005.51,58.66,26.84,M
2019-10-02 20:31:50,95178.28,60.72,27.12,L
2019-09-23 17:47:00,95231.14,55.92,26.82,H
2019-10-01 11:32:40,95360.22,57.63,28.33,M
2019-09-25 12:16:20,95239.5,55.55,27.47,L
2019-09-24 16:12:40,94978.37,53.54,28.35,M
2019-09-24 11:46:50,95356.0,57.96,27.42,M
2019-09-18 19:14:40,94998.41,59.17,26.78,M
2019-10-01 11:30:40,95359.01,57.75,28.1,M
2019-09-18 19:12:40,95007.17,58.41,26.81,M
2019-09-24 16:04:30,94982.97,53.29,28.7,M
2019-09-18 19:24:40,95001.71,56.04,27.67,M
2019-09-25 12:08:10,95245.48,55.65,27.6,L
2019-10-02 20:43:00,95190.94,59.46,27.22,L
2019-09-24 16:01:20,94996.56,54.53,28.66,M
2019-10-02 20:41:00,95192.07,59.72,27.26,L
2019-09-25 12:10:10,95248.44,54.79,27.64,L
2019-09-18 19:23:40,95012.78,55.7,27.98,M
2019-09-18 19:06:00,95004.67,58.98,27.04,M
2019-09-23 14:02:40,95442.6,55.47,27.66,M
2019-09-24 11:47:40,95352.86,58.36,27.34,M
2019-09-23 13:56:00,95439.36,55.57,28.36,M
2019-09-18 19:11:40,95006.69,58.85,26.85,M
2019-09-23 17:42:20,95239.95,55.02,26.92,H
2019-10-01 11:36:30,95364.78,56.45,28.45,M
2019-09-23 17:43:20,95237.01,54.93,26.9,H
2019-09-24 19:11:20,94913.34,56.42,29.46,H
2019-09-24 16:09:20,94982.47,53.25,28.64,M
2019-10-01 11:29:20,95357.83,58.25,27.98,M
2019-10-02 20:42:10,95192.12,59.39,27.22,L
2019-10-02 20:34:40,95182.12,60.51,27.15,L
2019-09-25 12:10:30,95246.85,54.94,27.66,L
2019-09-24 11:45:40,95355.95,57.7,27.46,M
2019-10-02 20:31:40,95177.63,60.64,27.13,L
2019-10-01 11:28:00,95360.43,59.41,27.81,M
2019-09-24 11:49:50,95357.43,58.74,27.27,M
2019-09-24 15:58:20,94991.22,54.91,28.52,M
2019-09-18 19:06:50,95007.41,57.82,26.93,M
2019-09-23 14:07:30,95427.58,56.57,27.31,M
2019-09-24 15:58:10,94992.48,55.06,28.5,M
2019-09-24 11:47:50,95352.26,58.48,27.34,M
2019-09-23 17:37:30,95243.25,52.67,27.3,H
2019-09-24 16:03:00,94991.08,53.2,28.85,M
2019-09-24 11:49:00,95358.53,58.52,27.28,M
2019-09-24 11:43:40,95351.1,59.74,27.39,M
2019-09-23 17:43:30,95237.56,54.88,26.88,H
2019-09-24 16:02:50,94991.0,53.16,28.85,M
2019-09-23 14:04:50,95433.76,56.08,27.51,M
2019-09-23 14:07:40,95426.56,56.51,27.32,M
2019-10-02 20:32:00,95178.85,60.56,27.13,L
2019-09-23 13:58:40,95442.38,55.53,28.23,M
