date,pre_mean,hum_mean,hum_std,tem_mean,diff_mean,occ
2020-05-28 11:14:40,94816.661,58.705999999999996,0.016465452046969257,30.544000000000004,28.161999999999992,L
2020-05-28 11:14:50,94816.64200000002,58.7,0.009428090415817944,30.554000000000002,28.146,L
2020-05-28 11:15:00,94815.63399999999,58.7,0.0,30.550000000000004,28.15,L
2020-05-28 11:15:10,94816.37999999998,58.708888888888886,0.006009252125775063,30.536666666666665,28.17222222222222,L
2020-05-28 11:15:20,94815.25700000001,58.74300000000001,0.006749485577109669,30.522,28.22100000000001,L
2020-05-28 11:15:30,94815.36000000002,58.745000000000005,0.007071067811867212,30.534000000000002,28.211000000000002,L
2020-05-28 11:15:40,94814.52199999998,58.72800000000001,0.004216370213557221,30.538,28.19000000000001,L
2020-05-28 11:15:50,94813.514,58.722,0.007888106377465962,30.540999999999997,28.181000000000004,L
2020-05-28 11:16:00,94813.08999999998,58.72600000000001,0.00516397779494323,30.538999999999998,28.187000000000015,L
2020-05-28 11:16:10,94813.12700000001,58.72700000000001,0.008232726023487838,30.533000000000005,28.194000000000006,L
2020-05-28 11:16:20,94811.88500000001,58.71999999999999,0.01333333333333139,30.538999999999998,28.180999999999994,L
2020-05-28 11:16:30,94813.27299999999,58.669,0.016633299933169005,30.551,28.118,L
2020-05-28 11:16:40,94813.73800000001,58.569,0.043830481529539625,30.558,28.011000000000003,L
2020-05-28 11:16:50,94814.867,58.49699999999999,0.027507574714370917,30.552000000000003,27.94499999999999,L
2020-05-28 11:17:00,94814.51999999999,58.582000000000015,0.010327955589893233,30.538,28.044000000000015,L
2020-05-28 11:17:10,94816.905,58.55800000000001,0.012292725943058426,30.540999999999997,28.01700000000001,L
2020-05-28 11:17:20,94817.02999999998,58.532999999999994,0.004830458915396183,30.558,27.974999999999994,L
2020-05-28 11:17:30,94817.861,58.55400000000001,0.02270584848790191,30.557,27.99700000000001,L
2020-05-28 11:17:40,94817.83699999998,58.577999999999996,0.004216370213558248,30.559999999999995,28.018,L
2020-05-28 11:17:50,94816.76500000001,58.58400000000002,0.010749676997734662,30.546,28.038000000000018,L
2020-05-28 11:18:00,94815.974,58.61,0.0,30.538999999999998,28.071,L
2020-05-28 11:18:10,94816.099,58.63099999999999,0.022827858224351235,30.523000000000003,28.10799999999999,L
2020-05-28 11:18:20,94815.40555555555,58.696666666666665,0.02598076211353433,30.5,28.196666666666665,L
2020-05-28 11:18:30,94816.098,58.705999999999996,0.006992058987801697,30.517000000000007,28.18899999999999,L
2020-05-28 11:18:40,94815.944,58.660000000000004,0.0235702260395546,30.538999999999998,28.121000000000006,L
2020-05-28 11:18:50,94814.03799999999,58.648,0.013165611772087889,30.534000000000002,28.114,L
2020-05-28 11:19:00,94814.166,58.64399999999999,0.015776212754930453,30.545000000000005,28.098999999999986,L
2020-05-28 11:19:10,94813.876,58.61999999999999,0.0066666666666707905,30.538,28.08199999999999,L
2020-05-28 11:19:20,94814.112,58.642999999999994,0.009486832980503013,30.530999999999995,28.112,L
2020-05-28 11:19:30,94815.17599999999,58.641,0.007378647873723743,30.541999999999994,28.099000000000004,L
2020-05-28 11:19:40,94814.073,58.595000000000006,0.020682789409983488,30.546000000000003,28.049000000000003,L
2020-05-28 11:19:50,94813.13100000001,58.584,0.017126976771550742,30.531,28.053000000000004,L
2020-05-28 11:20:00,94812.323,58.617,0.006749485577105112,30.525,28.092,L
2020-05-28 11:20:10,94812.46600000001,58.638999999999996,0.007378647873725051,30.514999999999997,28.124,L
2020-05-28 11:20:20,94811.238,58.63599999999999,0.012649110640674054,30.528,28.10799999999999,L
2020-05-28 11:20:30,94812.03,58.60200000000001,0.010327955589886006,30.536,28.06600000000001,L
2020-05-28 11:20:40,94810.342,58.548,0.017511900715415578,30.555,27.993000000000002,L
2020-05-28 11:20:50,94810.527,58.513999999999996,0.02988868236194366,30.556,27.957999999999995,L
2020-05-28 11:21:00,94810.25000000003,58.496,0.011737877907774242,30.554000000000002,27.942,L
2020-05-28 11:21:10,94810.013,58.51899999999999,0.01663329993316709,30.542,27.97699999999999,L
2020-05-28 11:21:20,94809.23299999998,58.544000000000004,0.005163977794940331,30.538999999999998,28.005000000000006,L
2020-05-28 11:21:30,94808.59,58.54299999999999,0.004830458915395249,30.544,27.99899999999999,L
2020-05-28 11:21:40,94809.6122222222,58.49888888888889,0.022047927592209023,30.557777777777776,27.941111111111116,L
2020-05-28 11:21:50,94808.89000000001,58.463,0.008232726023485314,30.551000000000005,27.911999999999995,L
2020-05-28 11:22:00,94808.50888888889,58.42555555555556,0.018104634152001815,30.559999999999995,27.865555555555567,L
