date,pre_mean,pre_std,hum_mean,hum_std,tem_mean,occ
2020-05-14 21:08:40,94269.243,1.6305966869674506,54.499,0.022335820757000153,30.989000000000004,L
2020-05-14 21:08:50,94269.7688888889,2.1061721466004784,54.60333333333333,0.1167261752992884,30.98666666666666,L
2020-05-14 21:09:00,94269.91199999998,1.0076683757785174,54.891,0.2420032139364207,30.988000000000007,L
2020-05-14 21:09:10,94270.44700000001,1.5186766900473234,54.286,0.06239658110292057,30.987000000000002,L
2020-05-14 21:09:20,94271.049,1.5093151500660809,54.321000000000005,0.1582859578245784,30.998,L
2020-05-14 21:09:30,94269.85299999999,1.822117510539688,54.355000000000004,0.08631338250815997,31.002,L
2020-05-14 21:09:40,94268.614,1.5879840469393764,54.22099999999999,0.0344641520681671,31.002999999999997,L
2020-05-14 21:09:50,94269.189,2.0460229715233016,54.427,0.1127484909975398,31.005000000000003,L
2020-05-14 21:10:00,94268.758,1.353216743745726,54.343999999999994,0.12038826077875457,31.002999999999997,L
2020-05-14 21:10:10,94268.15100000001,1.6412491854956113,54.133,0.023593784492243988,31.000999999999998,L
2020-05-14 21:10:20,94267.793,1.3175823819925485,54.263999999999996,0.0969765149118268,31.011000000000003,L
2020-05-14 21:10:30,94266.998,1.0026165767628346,54.259,0.016633299933167155,31.02,L
2020-05-14 21:10:40,94265.894,1.0786328795740365,54.287,0.10033831659828346,31.016,L
2020-05-14 21:10:50,94266.16799999999,1.3974882229689196,54.483000000000004,0.0374314187696781,31.012999999999998,L
2020-05-14 21:11:00,94266.277,1.4016819261931552,54.144000000000005,0.17563851766878488,31.009999999999998,L
2020-05-14 21:11:10,94267.102,1.4518019454723508,53.90099999999999,0.0438304815295367,31.009999999999998,L
2020-05-14 21:11:20,94266.583,1.857447771060772,54.034000000000006,0.07321202087089416,31.020000000000003,L
2020-05-14 21:11:30,94265.52200000001,0.9464295477695206,54.013999999999996,0.02065591117977229,31.019,L
2020-05-14 21:11:40,94265.903,1.2452848848530036,54.069,0.036953424138442444,31.016000000000002,L
2020-05-14 21:11:50,94265.60599999999,1.2694460734319273,54.146,0.10101705026599997,31.022000000000002,L
2020-05-14 21:12:00,94266.536,1.3176764060665216,54.247,0.04900113377373198,31.028,L
2020-05-14 21:12:10,94264.91555555555,1.4567953795130069,54.12777777777778,0.023863035105461967,31.015555555555554,L
2020-05-14 21:12:20,94264.913,0.6800988490235842,54.095000000000006,0.019002923751655125,31.008,L
2020-05-14 21:12:30,94265.90599999999,1.2268767935960114,54.121,0.01197218999737888,31.009999999999998,L
2020-05-14 21:12:40,94265.71399999999,2.288003496500223,54.193999999999996,0.03657564459825428,31.009999999999998,L
2020-05-14 21:12:50,94267.50700000001,1.3148303650630102,54.214,0.03777124126457387,30.997000000000003,L
2020-05-14 21:13:00,94265.40000000001,1.5903528609139304,54.326,0.07633260552782135,30.973000000000003,L
2020-05-14 21:13:10,94265.943,1.4466824115895827,54.386,0.04221637386396996,30.985000000000003,L
2020-05-14 21:13:20,94266.59300000001,1.293634415127965,54.437,0.052503968104007454,30.982,L
2020-05-14 21:13:30,94267.68699999999,1.3719576443058188,54.475,0.04006938426723998,30.985000000000003,L
2020-05-14 21:13:40,94266.473,1.8962246116377337,54.499,0.02233582075700217,30.994,L
