Fecha,Presion,Altitud,Humedad,Temperatura,Ocupacion
18/09/2019 19:04,95006.28,539.88,58.69,27.17,M
18/09/2019 19:04,95004.94,540,58.67,27.17,M
18/09/2019 19:04,95002.38,540.22,58.66,27.17,M
18/09/2019 19:04,95003.33,540.14,58.59,27.18,M
18/09/2019 19:04,95003.33,540.14,58.55,27.18,M
18/09/2019 19:04,95007.07,539.81,58.52,27.18,M
18/09/2019 19:04,95003.33,540.14,58.47,27.18,M
18/09/2019 19:04,95003.61,540.12,58.41,27.17,M
18/09/2019 19:04,95004.78,540.01,58.38,27.18,M
18/09/2019 19:04,95004.89,540,58.42,27.18,M
18/09/2019 19:04,95006.4,539.87,58.43,27.18,M
18/09/2019 19:04,95004.39,540.24,58.45,27.18,M
18/09/2019 19:04,95003.66,540.11,58.46,27.18,M
18/09/2019 19:04,95006.56,539.86,58.47,27.18,M
18/09/2019 19:04,95006.12,539.9,58.51,27.17,M
18/09/2019 19:04,94998.97,540.52,58.73,27.18,M
18/09/2019 19:04,95008.3,539.7,59.21,27.13,M
18/09/2019 19:04,95006.78,539.84,59.86,27.1,M
18/09/2019 19:04,95007.13,539.81,60.02,27.08,M
18/09/2019 19:04,95004.5,540.04,59.94,27.06,M
18/09/2019 19:04,95005.84,539.92,59.82,27.06,M
18/09/2019 19:04,95006.62,539.85,59.74,27.06,M
18/09/2019 19:04,95007.13,539.81,59.67,27.06,M
18/09/2019 19:04,95004.33,540.05,59.58,27.06,M
18/09/2019 19:04,95003.27,540.15,59.74,27.07,M
18/09/2019 19:04,95005.45,539.95,60.29,27.07,M
18/09/2019 19:04,95006.83,539.83,60.7,27.09,M
18/09/2019 19:04,95005.1,539.98,61.07,27.1,M
18/09/2019 19:04,95004.72,539.96,60.89,27.1,M
18/09/2019 19:04,95006.61,539.85,60.76,27.1,M
18/09/2019 19:04,95009.35,539.61,60.66,27.11,M
18/09/2019 19:04,95007.51,539.77,60.58,27.11,M
18/09/2019 19:04,95006.05,539.9,60.6,27.11,M
18/09/2019 19:04,95007.23,539.8,60.55,27.12,M
18/09/2019 19:04,95005.5,539.95,60.48,27.12,M
18/09/2019 19:04,95008.07,539.72,60.39,27.12,M
18/09/2019 19:04,95009.36,539.61,60.26,27.12,M
18/09/2019 19:04,95007.67,539.76,59.99,27.11,M
18/09/2019 19:04,95008.73,539.67,59.84,27.11,M
18/09/2019 19:04,95007.95,539.73,59.66,27.1,M
18/09/2019 19:04,95007.39,539.78,59.45,27.09,M
18/09/2019 19:04,95006.27,539.88,59.25,27.09,M
18/09/2019 19:04,95006.13,539.89,59,27.07,M
18/09/2019 19:04,95007.57,539.77,58.84,27.06,M
18/09/2019 19:04,95008.8,539.66,58.77,27.06,M
18/09/2019 19:04,95003.76,540.1,59,27.04,M
18/09/2019 19:04,95005.11,539.98,59.54,27.05,M
18/09/2019 19:04,95005.61,539.94,59.67,27.05,M
18/09/2019 19:04,95003.09,540.16,59.48,27.05,M
18/09/2019 19:04,95004.1,540.07,59.5,27.05,M
18/09/2019 19:04,95004.27,540.06,59.48,27.05,M
18/09/2019 19:04,95006.45,539.87,59.37,27.05,M
18/09/2019 19:04,95005.27,539.97,59.26,27.05,M
18/09/2019 19:04,95005.77,539.93,59.16,27.04,M
18/09/2019 19:04,95007,539.82,59.26,27.05,M
18/09/2019 19:04,95003.48,540.13,59.31,27.05,M
18/09/2019 19:04,95004.59,540.03,59.16,27.04,M
18/09/2019 19:05,95007,539.82,59.27,27.05,M
18/09/2019 19:05,95006.11,539.9,59.13,27.04,M
18/09/2019 19:05,95002.94,540.17,59.02,27.02,M
18/09/2019 19:05,95005.22,539.97,58.99,27,M
18/09/2019 19:05,95003.98,540.08,59.07,26.99,M
18/09/2019 19:05,95005.21,539.97,59.07,26.99,M
18/09/2019 19:05,95003.53,540.12,59.05,26.98,M
18/09/2019 19:05,95006.66,539.85,59.07,26.98,M
18/09/2019 19:05,95004.92,540,59.31,26.98,M
18/09/2019 19:05,95003.14,540.16,59.48,26.99,M
18/09/2019 19:05,95003.25,540.15,59.69,26.99,M
18/09/2019 19:05,95003.92,540.09,59.68,26.99,M
18/09/2019 19:05,95006,539.91,59.9,27,M
18/09/2019 19:05,95000.41,540.4,60.29,27.01,M
18/09/2019 19:05,95003.21,540.15,60.52,27.01,M
18/09/2019 19:05,95003.44,540.13,60.25,27.02,M
18/09/2019 19:05,95003.66,540.11,60.12,27.02,M
18/09/2019 19:05,95004.78,540.01,60.19,27.02,M
18/09/2019 19:05,95002.05,540.25,60.3,27.03,M
18/09/2019 19:05,95002.13,540.25,60.4,27.03,M
18/09/2019 19:05,95006.94,539.82,60.34,27.04,M
18/09/2019 19:05,95004.48,540.04,60.28,27.03,M
18/09/2019 19:05,95002.58,540.21,60.24,27.03,M
18/09/2019 19:05,95005.43,539.96,60.14,27.04,M
18/09/2019 19:05,95004.7,540.02,60.04,27.03,M
18/09/2019 19:05,95005.94,539.91,59.97,27.04,M
18/09/2019 19:05,95004.77,540.01,59.76,27.04,M
18/09/2019 19:05,95005.77,539.93,59.57,27.04,M
18/09/2019 19:05,95003.59,540.12,59.4,27.04,M
18/09/2019 19:05,95004.81,540.01,59.21,27.03,M
18/09/2019 19:05,95002.63,540.2,58.95,27.03,M
18/09/2019 19:05,95003.3,540.14,58.88,27.03,M
18/09/2019 19:05,95002.91,540.18,58.85,27.03,M
18/09/2019 19:05,95004.42,540.04,58.81,27.03,M
18/09/2019 19:05,95004.31,540.05,58.78,27.03,M
18/09/2019 19:05,95003.92,540.09,58.74,27.03,M
18/09/2019 19:05,95007.24,539.8,58.73,27.03,M
18/09/2019 19:05,95007.58,539.77,58.77,27.03,M
18/09/2019 19:05,95005.01,539.99,58.8,27.02,M
18/09/2019 19:05,95002.83,540.18,58.82,27.02,M
18/09/2019 19:05,95004.92,540,58.87,27.03,M
18/09/2019 19:05,95005.26,539.97,58.91,27.03,M
18/09/2019 19:05,95006.77,539.84,58.92,27.04,M
18/09/2019 19:05,95002.7,540.2,58.9,27.03,M
18/09/2019 19:05,95005.77,539.93,58.87,27.04,M
18/09/2019 19:05,95004.77,540.01,58.84,27.04,M
18/09/2019 19:05,95003.37,540.17,58.82,27.04,M
18/09/2019 19:05,95005.16,539.98,58.81,27.05,M
18/09/2019 19:05,95004.38,540.05,58.81,27.05,M
18/09/2019 19:05,95004.27,540.06,58.81,27.04,M
18/09/2019 19:05,95002.09,540.25,58.82,27.05,M
18/09/2019 19:05,95005.61,539.94,58.88,27.05,M
18/09/2019 19:05,95004.83,540.01,58.95,27.05,M
18/09/2019 19:05,95006.45,539.87,59.12,27.05,M
18/09/2019 19:05,95004.38,540.05,59.09,27.05,M
18/09/2019 19:05,95005.05,539.99,59.06,27.04,M
18/09/2019 19:05,95004.7,540.02,59.08,27.03,M
18/09/2019 19:05,95004.7,540.02,59.14,27.03,M
18/09/2019 19:05,95004.42,540.04,59.18,27.04,M
18/09/2019 19:06,95002.7,540.2,59.17,27.03,M
18/09/2019 19:06,95004.53,540.03,59.09,27.03,M
18/09/2019 19:06,95003.03,540.17,59.06,27.03,M
18/09/2019 19:06,95005.32,539.96,59.03,27.04,M
18/09/2019 19:06,95006.94,539.75,59,27.04,M
18/09/2019 19:06,95003.75,540.1,58.98,27.04,M
18/09/2019 19:06,95005.16,539.98,58.95,27.04,M
18/09/2019 19:06,95004.92,540,58.93,27.04,M
18/09/2019 19:06,95005.43,539.96,58.85,27.04,M
18/09/2019 19:06,95004.88,540,58.75,27.03,M
18/09/2019 19:06,95004.7,540.02,58.57,27.03,M
18/09/2019 19:06,95007.41,539.78,58.44,27.03,M
18/09/2019 19:06,95005.12,539.98,58.32,27.02,M
18/09/2019 19:06,95004.73,540.02,58.21,27.02,M
18/09/2019 19:06,95006.56,539.86,58.15,27.02,M
18/09/2019 19:06,95006.79,539.84,58.1,27.01,M
18/09/2019 19:06,95006.5,539.86,58.12,27.01,M
18/09/2019 19:06,95006.89,539.83,58.11,27,M
18/09/2019 19:06,95003.88,540.09,58.08,27,M
